model,configuration_id,learning_rate,weight_decay,batch_size,pretrain_epochs,maximum_epochs,early_stopping_patience,seed,initialization_seed,data_order_seed,mask_seed,checkpoint_rule,input_view,selection_scope,training_kind,analysis_role,evaluation_scope,evaluation_subjects,outer_folds,configuration_sha256
physiocat,pcat-delay-v2,0.000600,0.000000,32,5,80,12,42,42,42,82000,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,five-fold subject-grouped primary model comparison,complete five-fold subject-grouped out-of-fold evaluation,2714,5,2e236acae73a87dd098ddd4427adc02b591bb5b0b5edd238cb40b0188a083f7f
matched_no_delay,pcat-nodelay-v2,0.000600,0.000000,32,5,80,12,42,42,42,82000,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,five-fold subject-grouped primary model comparison,complete five-fold subject-grouped out-of-fold evaluation,2714,5,c078a588560158cc7bc3d77e66aba94094ff447a4b6861a4c05bd0318089cb8c
mufubp_net,mufu-v1,0.000300,0.000100,64,0,80,12,42,42,42,82000,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,five-fold subject-grouped primary model comparison,complete five-fold subject-grouped out-of-fold evaluation,2714,5,d81cf334c794cc7c64b4c84e1e4055c35b3090fbeece48fc0769a91486380941
te_sagru,tesagru-v1,0.000600,0.000100,16,0,80,12,42,42,42,82000,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,five-fold subject-grouped primary model comparison,complete five-fold subject-grouped out-of-fold evaluation,2714,5,0ef90b3795218417ea0eb3b686bbf1df19551c992ad395bccd1dba3d46f124a4
bp_net,bpnet-v1,0.000300,0.000100,16,0,80,12,42,42,42,82000,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,five-fold subject-grouped primary model comparison,complete five-fold subject-grouped out-of-fold evaluation,2714,5,1b8612388db60c5916cd34268aedd2705e1a4a59936f9343dff08e26285ff7f8
cnn_bilstm,cnnbilstm-v1,0.000100,0.000100,64,0,80,12,42,42,42,82000,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,five-fold subject-grouped primary model comparison,complete five-fold subject-grouped out-of-fold evaluation,2714,5,788339cdf135019742d250a44b6dfacd58104ccd6e471ab5e45a39e05a9b2f34
random_forest,random-forest-v1,0.000000,0.000000,0,0,1,0,42,42,42,82000,fold-local validation selection; deterministic classical fit,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,classical,five-fold subject-grouped primary model comparison,complete five-fold subject-grouped out-of-fold evaluation,2714,5,d13d6ada4943d3c8ce7f3fd8e6027b2752a783eb1e86d7c4131c735a2513def1
pat_ridge,pat-ridge-v1,0.000000,0.000000,0,0,1,0,42,42,42,82000,fold-local validation selection; deterministic classical fit,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,classical,five-fold subject-grouped primary model comparison,complete five-fold subject-grouped out-of-fold evaluation,2714,5,65706aa0141d1952e08af14fce68c5df2bd03c8e29f309790278554322c2eeae
without_sqi_fusion,without_sqi_fusion-v3,0.000600,0.000000,32,5,80,12,42,42,42,82000,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,five-fold factorized ablation,complete five-fold subject-grouped out-of-fold evaluation,2714,5,865dc4cf188149421dc1d483195d95245a194636fecb4100996ff0205663b836
without_delay_and_sqi,without_delay_and_sqi-v3,0.000600,0.000000,32,5,80,12,42,42,42,82000,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,five-fold factorized ablation,complete five-fold subject-grouped out-of-fold evaluation,2714,5,03f4636ce7303eac7bdca4915a0a8844f0cb1dfd9dcdb28f02ad7a43f526b348
without_pretraining,without_pretraining-v3,0.000600,0.000000,32,0,80,12,42,42,42,82000,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,2714,5,5e410ffad677ebb66be2d4c7afc4d67b945d922336989a630a21f6ead3972cca
physiocat_patch_local,physiocat_patch_local-v3,0.000600,0.000000,32,5,80,12,42,42,42,82000,minimum validation mean MAE; earliest epoch breaks ties,patch_local,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,2714,5,cba669113dc0f4a9380946b008f1eecc4f9881a493cc55cfd767edfcd23d71e7
matched_no_delay_patch_local,matched_no_delay_patch_local-v3,0.000600,0.000000,32,5,80,12,42,42,42,82000,minimum validation mean MAE; earliest epoch breaks ties,patch_local,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,2714,5,2ce849f0034fbb75133805308e75f7622171c143ea46b2ca2dbc41258f75f027
ppg_leading_mirror,ppg_leading_mirror-v3,0.000600,0.000000,32,5,80,12,42,42,42,82000,minimum validation mean MAE; earliest epoch breaks ties,window_robust,fixed three-candidate training grid resolved on fold-local validation; outer test not consulted,neural,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,2714,5,d827eafeb49d69477656f0fbda2a5986a106a30456041702c7bff955883688f0
